,sink_node_id,src_node_id,switch
856,482,182,7
857,483,182,3
858,484,182,5
859,485,182,2
860,486,182,7
861,487,182,6
862,488,182,7
863,489,182,7
864,490,182,2
865,491,182,3
866,492,182,3
867,493,182,2
868,494,182,8
869,495,182,8
870,496,182,8
871,497,182,8
872,498,182,8
873,499,182,8
874,500,182,8
875,501,182,2
876,502,182,8
877,503,182,5
878,542,182,10
879,543,182,14
880,544,182,14
881,545,182,14
882,159,183,0
883,160,184,0
884,400,185,3
885,401,185,2
886,504,185,2
887,505,185,8
888,506,185,5
889,507,185,8
890,508,185,7
891,509,185,7
892,510,185,5
893,511,185,5
894,512,185,2
895,513,185,5
896,514,185,2
897,515,185,8
898,516,185,2
899,517,185,8
900,518,185,3
901,519,185,5
902,520,185,5
903,521,185,5
904,522,185,8
905,523,185,4
906,524,185,8
907,525,185,8
908,526,185,2
909,527,185,5
910,546,185,10
911,547,185,10
912,548,185,14
913,549,185,14
914,162,186,0
915,163,187,0
916,402,188,5
917,403,188,3
918,404,188,2
919,405,188,2
920,406,188,2
921,407,188,2
922,408,188,5
923,409,188,5
924,410,188,8
925,411,188,2
926,412,188,3
927,413,188,2
928,414,188,7
929,415,188,7
930,416,188,8
931,417,188,2
932,418,188,2
933,419,188,5
934,420,188,2
935,421,188,2
936,422,188,5
937,423,188,8
938,424,188,3
939,425,188,8
940,426,188,5
941,427,188,7
942,528,188,10
943,529,188,11
944,530,188,12
945,531,188,10
946,165,189,0
947,166,190,0
948,428,191,4
949,429,191,2
950,430,191,8
951,431,191,8
952,432,191,8
953,433,191,5
954,434,191,8
955,435,191,2
956,436,191,8
957,437,191,3
958,438,191,5
959,439,191,5
960,440,191,2
961,441,191,2
962,442,191,8
963,443,191,3
964,444,191,5
965,445,191,8
966,446,191,6
967,447,191,5
968,448,191,2
969,449,191,5
970,450,191,5
971,451,191,5
972,452,191,2
973,453,191,2
974,532,191,13
975,533,191,12
976,534,191,13
977,535,191,14
978,168,192,0
979,169,193,0
980,454,194,5
981,455,194,2
982,456,194,7
983,457,194,2
984,458,194,2
985,459,194,2
986,460,194,3
987,461,194,5
988,462,194,7
989,463,194,3
990,464,194,2
991,465,194,2
992,466,194,2
993,467,194,5
994,468,194,8
995,469,194,2
996,470,194,8
997,471,194,8
998,472,194,8
999,473,194,4
1000,474,194,7
1001,475,194,2
1002,476,194,2
1003,477,194,8
1004,478,194,5
1005,479,194,5
1006,536,194,13
1007,537,194,10
1008,538,194,11
1009,539,194,14
1010,171,195,0
1011,172,196,0
1012,480,197,2
1013,481,197,7
1014,482,197,7
1015,483,197,3
1016,484,197,5
1017,485,197,2
1018,486,197,7
1019,487,197,6
1020,488,197,7
1021,489,197,7
1022,490,197,2
1023,491,197,3
1024,492,197,3
1025,493,197,2
1026,494,197,8
1027,495,197,8
1028,496,197,8
1029,497,197,8
1030,498,197,8
1031,499,197,8
1032,500,197,8
1033,501,197,2
1034,502,197,8
1035,503,197,5
1036,504,197,2
1037,505,197,8
1038,540,197,9
1039,541,197,13
1040,542,197,10
1041,543,197,14
1042,174,198,0
1043,175,199,0
1044,400,200,3
1045,401,200,2
1046,402,200,5
1047,403,200,3
1048,506,200,5
1049,507,200,8
1050,508,200,7
1051,509,200,7
1052,510,200,5
1053,511,200,5
1054,512,200,2
1055,513,200,5
1056,514,200,2
1057,515,200,8
1058,516,200,2
1059,517,200,8
1060,518,200,3
1061,519,200,5
1062,520,200,5
1063,521,200,5
1064,522,200,8
1065,523,200,4
1066,524,200,8
1067,525,200,8
1068,526,200,2
1069,527,200,5
1070,544,200,14
1071,545,200,14
1072,546,200,10
1073,547,200,10
1074,177,201,0
1075,227,203,0
1076,230,206,0
1077,233,209,0
1078,236,212,0
1079,239,215,0
1080,242,218,0
1081,245,221,0
1082,248,224,0
1083,202,226,0
1084,752,227,2
1085,753,227,8
1086,754,227,2
1087,755,227,3
1088,756,227,4
1089,757,227,4
1090,758,227,4
1091,759,227,2
1092,760,227,4
1093,761,227,2
1094,762,227,2
1095,763,227,3
1096,764,227,8
1097,765,227,5
1098,766,227,5
1099,767,227,8
1100,768,227,3
1101,769,227,3
1102,770,227,3
1103,771,227,4
1104,772,227,3
1105,773,227,2
1106,774,227,3
1107,775,227,3
1108,776,227,3
1109,777,227,5
1110,838,227,18
1111,839,227,12
1112,840,227,10
1113,841,227,12
1114,204,228,0
1115,205,229,0
1116,778,230,2
1117,779,230,8
1118,780,230,8
1119,781,230,15
1120,782,230,2
1121,783,230,8
1122,784,230,5
1123,785,230,5
1124,786,230,6
1125,787,230,8
1126,788,230,8
1127,789,230,4
1128,790,230,5
1129,791,230,5
1130,792,230,2
1131,793,230,8
1132,794,230,3
1133,795,230,3
1134,796,230,8
1135,797,230,4
1136,798,230,2
1137,799,230,3
1138,800,230,2
1139,801,230,15
1140,802,230,2
1141,803,230,8
1142,842,230,17
1143,843,230,14
1144,844,230,12
1145,845,230,10
1146,207,231,0
1147,208,232,0
1148,700,233,15
1149,701,233,4
1150,804,233,5
1151,805,233,8
1152,806,233,8
1153,807,233,8
1154,808,233,7
1155,809,233,2
1156,810,233,2
1157,811,233,2
1158,812,233,8
1159,813,233,7
1160,814,233,2
1161,815,233,8
1162,816,233,3
1163,817,233,8
1164,818,233,2
1165,819,233,7
1166,820,233,8
1167,821,233,7
1168,822,233,5
1169,823,233,8
1170,824,233,8
1171,825,233,4
1172,826,233,2
1173,827,233,8
1174,846,233,17
1175,847,233,9
1176,848,233,13
1177,849,233,13
1178,210,234,0
1179,211,235,0
1180,702,236,2
1181,703,236,8
1182,704,236,3
1183,705,236,3
1184,706,236,5
1185,707,236,8
1186,708,236,8
1187,709,236,8
1188,710,236,5
1189,711,236,3
1190,712,236,4
1191,713,236,3
1192,714,236,5
1193,715,236,5
1194,716,236,8
1195,717,236,4
1196,718,236,3
1197,719,236,2
1198,720,236,8
1199,721,236,8
1200,722,236,8
1201,723,236,8
1202,724,236,2
1203,725,236,3
1204,726,236,8
1205,727,236,7
1206,828,236,14
1207,829,236,12
1208,830,236,18
1209,831,236,10
1210,213,237,0
1211,214,238,0
1212,728,239,4
1213,729,239,8
1214,730,239,3
1215,731,239,2
1216,732,239,3
1217,733,239,4
1218,734,239,8
1219,735,239,8
1220,736,239,15
1221,737,239,8
1222,738,239,2
1223,739,239,2
1224,740,239,15
1225,741,239,4
1226,742,239,7
1227,743,239,15
1228,744,239,3
1229,745,239,3
1230,746,239,8
1231,747,239,2
1232,748,239,8
1233,749,239,8
1234,750,239,5
1235,751,239,3
1236,752,239,2
1237,753,239,8
1238,832,239,12
1239,833,239,13
1240,834,239,10
1241,835,239,17
1242,216,240,0
1243,217,241,0
1244,754,242,2
1245,755,242,3
1246,756,242,4
1247,757,242,4
1248,758,242,4
1249,759,242,2
1250,760,242,4
1251,761,242,2
1252,762,242,2
1253,763,242,3
1254,764,242,8
1255,765,242,5
1256,766,242,5
1257,767,242,8
1258,768,242,3
1259,769,242,3
1260,770,242,3
1261,771,242,4
1262,772,242,3
1263,773,242,2
1264,774,242,3
1265,775,242,3
1266,776,242,3
1267,777,242,5
1268,778,242,2
1269,779,242,8
1270,836,242,10
1271,837,242,10
1272,838,242,18
1273,839,242,12
1274,219,243,0
1275,220,244,0
1276,780,245,8
1277,781,245,15
1278,782,245,2
1279,783,245,8
1280,784,245,5
1281,785,245,5
1282,786,245,6
1283,787,245,8
1284,788,245,8
1285,789,245,4
1286,790,245,5
1287,791,245,5
1288,792,245,2
1289,793,245,8
1290,794,245,3
1291,795,245,3
1292,796,245,8
1293,797,245,4
1294,798,245,2
1295,799,245,3
1296,800,245,2
1297,801,245,15
1298,802,245,2
1299,803,245,8
1300,804,245,5
1301,805,245,8
1302,840,245,10
1303,841,245,12
1304,842,245,17
1305,843,245,14
1306,222,246,0
1307,223,247,0
1308,700,248,15
1309,701,248,4
1310,702,248,2
1311,703,248,8
1312,806,248,8
1313,807,248,8
1314,808,248,7
1315,809,248,2
1316,810,248,2
1317,811,248,2
1318,812,248,8
1319,813,248,7
1320,814,248,2
1321,815,248,8
1322,816,248,3
1323,817,248,8
1324,818,248,2
1325,819,248,7
1326,820,248,8
1327,821,248,7
1328,822,248,5
1329,823,248,8
1330,824,248,8
1331,825,248,4
1332,826,248,2
1333,827,248,8
1334,844,248,12
1335,845,248,10
1336,846,248,17
1337,847,248,9
1338,225,249,0
1339,72,250,1
1340,87,250,1
1341,115,250,1
1342,135,250,1
1343,296,250,8
1344,316,250,2
1345,744,250,3
1346,782,250,2
1347,72,251,1
1348,87,251,1
1349,115,251,1
1350,135,251,1
1351,667,251,3
1352,691,251,17
1353,75,252,1
