,id,chan,dir,ptc,xhigh,xlow,yhigh,ylow
364,364,CHANY,INC_DIR,14,0,0,1,1
365,365,CHANY,DEC_DIR,15,0,0,1,1
366,366,CHANY,INC_DIR,16,0,0,1,1
367,367,CHANY,DEC_DIR,17,0,0,1,1
368,368,CHANY,INC_DIR,18,0,0,1,1
369,369,CHANY,DEC_DIR,19,0,0,1,1
370,370,CHANY,INC_DIR,20,0,0,1,1
371,371,CHANY,DEC_DIR,21,0,0,1,1
372,372,CHANY,INC_DIR,22,0,0,1,1
373,373,CHANY,DEC_DIR,23,0,0,1,1
374,374,CHANY,INC_DIR,24,0,0,1,1
375,375,CHANY,DEC_DIR,25,0,0,1,1
376,376,CHANY,INC_DIR,26,0,0,1,1
377,377,CHANY,DEC_DIR,27,0,0,1,1
378,378,CHANY,INC_DIR,28,0,0,1,1
379,379,CHANY,DEC_DIR,29,0,0,1,1
380,380,CHANY,INC_DIR,30,0,0,1,1
381,381,CHANY,DEC_DIR,31,0,0,1,1
382,382,CHANY,INC_DIR,32,0,0,1,1
383,383,CHANY,DEC_DIR,33,0,0,1,1
384,384,CHANY,INC_DIR,34,0,0,1,1
385,385,CHANY,DEC_DIR,35,0,0,1,1
386,386,CHANY,INC_DIR,36,0,0,1,1
387,387,CHANY,DEC_DIR,37,0,0,1,1
388,388,CHANY,INC_DIR,38,0,0,1,1
389,389,CHANY,DEC_DIR,39,0,0,1,1
390,390,CHANY,INC_DIR,40,0,0,1,1
391,391,CHANY,DEC_DIR,41,0,0,1,1
392,392,CHANY,INC_DIR,42,0,0,1,1
393,393,CHANY,DEC_DIR,43,0,0,1,1
394,394,CHANY,INC_DIR,44,0,0,1,1
395,395,CHANY,DEC_DIR,45,0,0,1,1
396,396,CHANY,INC_DIR,46,0,0,1,1
397,397,CHANY,DEC_DIR,47,0,0,1,1
398,398,CHANY,INC_DIR,48,0,0,1,1
399,399,CHANY,DEC_DIR,49,0,0,1,1
400,400,CHANY,INC_DIR,0,1,1,1,1
401,401,CHANY,DEC_DIR,1,1,1,1,1
402,402,CHANY,INC_DIR,2,1,1,1,1
403,403,CHANY,DEC_DIR,3,1,1,1,1
404,404,CHANY,INC_DIR,4,1,1,1,1
405,405,CHANY,DEC_DIR,5,1,1,1,1
406,406,CHANY,INC_DIR,6,1,1,1,1
407,407,CHANY,DEC_DIR,7,1,1,1,1
408,408,CHANY,INC_DIR,8,1,1,1,1
409,409,CHANY,DEC_DIR,9,1,1,1,1
410,410,CHANY,INC_DIR,10,1,1,1,1
411,411,CHANY,DEC_DIR,11,1,1,1,1
412,412,CHANY,INC_DIR,12,1,1,1,1
413,413,CHANY,DEC_DIR,13,1,1,1,1
414,414,CHANY,INC_DIR,14,1,1,1,1
415,415,CHANY,DEC_DIR,15,1,1,1,1
416,416,CHANY,INC_DIR,16,1,1,1,1
417,417,CHANY,DEC_DIR,17,1,1,1,1
418,418,CHANY,INC_DIR,18,1,1,1,1
419,419,CHANY,DEC_DIR,19,1,1,1,1
420,420,CHANY,INC_DIR,20,1,1,1,1
421,421,CHANY,DEC_DIR,21,1,1,1,1
422,422,CHANY,INC_DIR,22,1,1,1,1
423,423,CHANY,DEC_DIR,23,1,1,1,1
